Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
866064203,866067930,3727,0,3727,memcpy_kernel,40504,40504,0,0,94,,:94,memcpy_kernel
866068087,866071473,3386,0,3386,D2H_per_iter,40504,40504,0,0,95,,:95,D2H_per_iter
866071645,866077229,5584,0,5584,H2D_per_iter,40504,40504,0,0,96,,:96,H2D_per_iter
866077425,866090688,13263,0,13263,vecAdd,40504,40504,0,0,97,,:97,vecAdd
866090867,866095032,4165,0,4165,scale,40504,40504,0,0,98,,:98,scale
866095274,866099621,4347,0,4347,memcpy_kernel,40504,40504,0,0,99,,:99,memcpy_kernel
866099887,866103747,3860,0,3860,D2H_per_iter,40504,40504,0,0,100,,:100,D2H_per_iter
866104038,866110098,6060,0,6060,H2D_per_iter,40504,40504,0,0,101,,:101,H2D_per_iter
866110402,866115165,4763,0,4763,vecAdd,40504,40504,0,0,102,,:102,vecAdd
866115445,866120459,5014,0,5014,scale,40504,40504,0,0,103,,:103,scale
866120700,866124899,4199,0,4199,memcpy_kernel,40504,40504,0,0,104,,:104,memcpy_kernel
866125143,866128605,3462,0,3462,D2H_per_iter,40504,40504,0,0,105,,:105,D2H_per_iter
866128865,866134665,5800,0,5800,H2D_per_iter,40504,40504,0,0,106,,:106,H2D_per_iter
866134942,866140243,5301,0,5301,vecAdd,40504,40504,0,0,107,,:107,vecAdd
866140401,866144404,4003,0,4003,scale,40504,40504,0,0,108,,:108,scale
866144567,866148476,3909,0,3909,memcpy_kernel,40504,40504,0,0,109,,:109,memcpy_kernel
866148636,866151963,3327,0,3327,D2H_per_iter,40504,40504,0,0,110,,:110,D2H_per_iter
866152139,866157767,5628,0,5628,H2D_per_iter,40504,40504,0,0,111,,:111,H2D_per_iter
866157964,866162319,4355,0,4355,vecAdd,40504,40504,0,0,112,,:112,vecAdd
866162477,866167053,4576,0,4576,scale,40504,40504,0,0,113,,:113,scale
866167295,866172049,4754,0,4754,memcpy_kernel,40504,40504,0,0,114,,:114,memcpy_kernel
866172207,866176018,3811,0,3811,D2H_per_iter,40504,40504,0,0,115,,:115,D2H_per_iter
866176190,866181863,5673,0,5673,H2D_per_iter,40504,40504,0,0,116,,:116,H2D_per_iter
866182062,866186709,4647,0,4647,vecAdd,40504,40504,0,0,117,,:117,vecAdd
866186874,866191079,4205,0,4205,scale,40504,40504,0,0,118,,:118,scale
866191235,866195192,3957,0,3957,memcpy_kernel,40504,40504,0,0,119,,:119,memcpy_kernel
866195351,866198801,3450,0,3450,D2H_per_iter,40504,40504,0,0,120,,:120,D2H_per_iter
866199177,866205189,6012,0,6012,H2D_per_iter,40504,40504,0,0,121,,:121,H2D_per_iter
866205474,866210061,4587,0,4587,vecAdd,40504,40504,0,0,122,,:122,vecAdd
866210218,866213971,3753,0,3753,scale,40504,40504,0,0,123,,:123,scale
866214126,866217891,3765,0,3765,memcpy_kernel,40504,40504,0,0,124,,:124,memcpy_kernel
866218077,866221505,3428,0,3428,D2H_per_iter,40504,40504,0,0,125,,:125,D2H_per_iter
866221680,866227408,5728,0,5728,H2D_per_iter,40504,40504,0,0,126,,:126,H2D_per_iter
866227610,866232043,4433,0,4433,vecAdd,40504,40504,0,0,127,,:127,vecAdd
866232207,866236748,4541,0,4541,scale,40504,40504,0,0,128,,:128,scale
866237051,866241347,4296,0,4296,memcpy_kernel,40504,40504,0,0,129,,:129,memcpy_kernel
866241598,866245005,3407,0,3407,D2H_per_iter,40504,40504,0,0,130,,:130,D2H_per_iter
866245181,866250914,5733,0,5733,H2D_per_iter,40504,40504,0,0,131,,:131,H2D_per_iter
866251111,866255706,4595,0,4595,vecAdd,40504,40504,0,0,132,,:132,vecAdd
866255871,866260095,4224,0,4224,scale,40504,40504,0,0,133,,:133,scale
866260251,866264737,4486,0,4486,memcpy_kernel,40504,40504,0,0,134,,:134,memcpy_kernel
866264895,866268243,3348,0,3348,D2H_per_iter,40504,40504,0,0,135,,:135,D2H_per_iter
866268411,866274142,5731,0,5731,H2D_per_iter,40504,40504,0,0,136,,:136,H2D_per_iter
866274666,866279343,4677,0,4677,vecAdd,40504,40504,0,0,137,,:137,vecAdd
866279671,866283934,4263,0,4263,scale,40504,40504,0,0,138,,:138,scale
866284095,866288124,4029,0,4029,memcpy_kernel,40504,40504,0,0,139,,:139,memcpy_kernel
866288283,866291579,3296,0,3296,D2H_per_iter,40504,40504,0,0,140,,:140,D2H_per_iter
866291756,866297370,5614,0,5614,H2D_per_iter,40504,40504,0,0,141,,:141,H2D_per_iter
866297569,866302292,4723,0,4723,vecAdd,40504,40504,0,0,142,,:142,vecAdd
866302450,866306625,4175,0,4175,scale,40504,40504,0,0,143,,:143,scale
866306787,866311157,4370,0,4370,memcpy_kernel,40504,40504,0,0,144,,:144,memcpy_kernel
866311413,866314901,3488,0,3488,D2H_per_iter,40504,40504,0,0,145,,:145,D2H_per_iter
866315165,866320775,5610,0,5610,H2D_per_iter,40504,40504,0,0,146,,:146,H2D_per_iter
866320999,866325329,4330,0,4330,vecAdd,40504,40504,0,0,147,,:147,vecAdd
866325493,866329023,3530,0,3530,scale,40504,40504,0,0,148,,:148,scale
866329177,866333480,4303,0,4303,memcpy_kernel,40504,40504,0,0,149,,:149,memcpy_kernel
866333646,866336946,3300,0,3300,D2H_per_iter,40504,40504,0,0,150,,:150,D2H_per_iter
866337117,866342728,5611,0,5611,H2D_per_iter,40504,40504,0,0,151,,:151,H2D_per_iter
866343143,866347597,4454,0,4454,vecAdd,40504,40504,0,0,152,,:152,vecAdd
866347847,866351761,3914,0,3914,scale,40504,40504,0,0,153,,:153,scale
866351915,866356101,4186,0,4186,memcpy_kernel,40504,40504,0,0,154,,:154,memcpy_kernel
