Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
758303355,639572,313,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
758949423,685714,314,,,,,,,,,,8.389,12230.590,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
759638945,66591,316,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
759711264,639443,317,,,,,,,,,,8.389,13111.394,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
760362515,687059,318,,,,,,,,,,8.389,12205.425,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
761059334,66943,320,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
761132548,643764,321,,,,,,,,,,8.389,13027.508,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
761781752,696210,322,,,,,,,,,,8.389,12046.041,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
762481834,66719,324,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
762555881,640787,325,,,,,,,,,,8.389,13086.228,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
763203068,692019,326,,,,,,,,,,8.389,12121.539,Pinned,Device,Tesla T4 (0),1,,13,[CUDA memcpy Host-to-Device]
