Start (ns),End (ns),Duration (ns),DurChild (ns),DurNonChild (ns),Name,PID,TID,Lvl,NumChild,RangeId,ParentId,RangeStack,NameTree
706713661,706722533,8872,0,8872,cufftExecC2C_forward,41104,41104,0,0,23,,:23,cufftExecC2C_forward
706722911,706728210,5299,0,5299,D2H_per_iter,41104,41104,0,0,24,,:24,D2H_per_iter
706728560,706733495,4935,0,4935,H2D_per_iter,41104,41104,0,0,25,,:25,H2D_per_iter
706733791,706740611,6820,0,6820,cufftExecC2C_forward,41104,41104,0,0,26,,:26,cufftExecC2C_forward
706740914,706746134,5220,0,5220,D2H_per_iter,41104,41104,0,0,27,,:27,D2H_per_iter
706746428,706751336,4908,0,4908,H2D_per_iter,41104,41104,0,0,28,,:28,H2D_per_iter
706751626,706758329,6703,0,6703,cufftExecC2C_forward,41104,41104,0,0,29,,:29,cufftExecC2C_forward
706758889,706763887,4998,0,4998,D2H_per_iter,41104,41104,0,0,30,,:30,D2H_per_iter
706764296,706769162,4866,0,4866,H2D_per_iter,41104,41104,0,0,31,,:31,H2D_per_iter
706769516,706779890,10374,0,10374,cufftExecC2C_forward,41104,41104,0,0,32,,:32,cufftExecC2C_forward
706780109,706784142,4033,0,4033,D2H_per_iter,41104,41104,0,0,33,,:33,D2H_per_iter
706784414,706787571,3157,0,3157,H2D_per_iter,41104,41104,0,0,34,,:34,H2D_per_iter
706787829,706792734,4905,0,4905,cufftExecC2C_forward,41104,41104,0,0,35,,:35,cufftExecC2C_forward
706792974,706796221,3247,0,3247,D2H_per_iter,41104,41104,0,0,36,,:36,D2H_per_iter
706796496,706799476,2980,0,2980,H2D_per_iter,41104,41104,0,0,37,,:37,H2D_per_iter
706799935,706804911,4976,0,4976,cufftExecC2C_forward,41104,41104,0,0,38,,:38,cufftExecC2C_forward
706805217,706808790,3573,0,3573,D2H_per_iter,41104,41104,0,0,39,,:39,D2H_per_iter
706809060,706812319,3259,0,3259,H2D_per_iter,41104,41104,0,0,40,,:40,H2D_per_iter
706812559,706817607,5048,0,5048,cufftExecC2C_forward,41104,41104,0,0,41,,:41,cufftExecC2C_forward
706817841,706821040,3199,0,3199,D2H_per_iter,41104,41104,0,0,42,,:42,D2H_per_iter
706821239,706824512,3273,0,3273,H2D_per_iter,41104,41104,0,0,43,,:43,H2D_per_iter
706824698,706830234,5536,0,5536,cufftExecC2C_forward,41104,41104,0,0,44,,:44,cufftExecC2C_forward
706830379,706833548,3169,0,3169,D2H_per_iter,41104,41104,0,0,45,,:45,D2H_per_iter
