Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
553771259,75295,236,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
553847642,75006,238,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
553923640,74175,240,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
553999255,77726,242,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554078037,74911,244,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554154068,75358,246,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554230386,76831,248,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554308273,75455,250,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554384688,77246,252,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554462958,75454,254,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554539500,75423,256,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554616075,77119,258,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554694090,75326,260,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554770664,75583,262,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554847174,77343,264,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
554925509,78174,266,256,1,1,256,1,1,64,0.000,0.017,,,,,Tesla T4 (0),1,,13,"void vector_fft<(unsigned int)4096, EPT<(unsigned int)16>, (unsigned int)1, (unsigned int)2, (padding_t)70, (twiddle_t)0, (loadstore_modifier_t)2, (layout_t)0, unsigned int, float>(kernel_arguments_t<T9>)"
555005475,668340,267,,,,,,,,,,8.389,12549.358,Device,Pinned,Tesla T4 (0),1,,13,[CUDA memcpy Device-to-Host]
